nr_zmiany;nr_wiersza_csv;id_po_poprawie;kolumna;wartosc_przed;wartosc_po;regula
1;4;3;wspolczynnik;1.426;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
2;5;4;wspolczynnik;0,879;0.879;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
3;6;5;miasto;lublin;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
4;6;5;kwota;597,78;597.78;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
5;7;6;miasto;wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
6;8;7;miasto;WROCŁAW;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
7;8;7;wspolczynnik;1.188;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
8;9;8;miasto;KATOWICE;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
9;9;8;wspolczynnik;0,352;0.352;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
10;10;9;miasto;POZNAŃ;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
11;11;10;miasto;lublin;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
12;11;10;kwota;1716,86;1716.86;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
13;11;10;wspolczynnik;1.407;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
14;12;11;miasto;Kraków ;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
15;12;11;wspolczynnik;1.246;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
16;13;12;miasto;GDAŃSK;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
17;13;12;wspolczynnik;0,196;0.196;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
18;15;14;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
19;16;15;miasto;warszawa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
20;16;15;kwota;1444,29;1444.29;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
21;16;15;wspolczynnik;1.134;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
22;17;16;wspolczynnik;0,869;0.869;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
23;18;17;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
24;19;18;wspolczynnik;1.022;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
25;20;19;miasto;łódź;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
26;21;20;miasto;Gdansk;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
27;21;20;kwota;4297,42;4297.42;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
28;21;20;wspolczynnik;1,43;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
29;22;21;miasto;Lubln;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
30;24;23;miasto;Warszawa ;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
31;24;23;kwota;2687.73 zł;2687.73;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
32;24;23;wspolczynnik;1.429;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
33;25;24;miasto;WROCŁAW;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
34;25;24;wspolczynnik;1,438;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
35;26;25;kwota;2445,46;2445.46;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
36;26;25;wspolczynnik;1.469;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
37;27;26;wspolczynnik;0.58;0.580;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
38;28;27;miasto;Łodz;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
39;28;27;wspolczynnik;1.433;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
40;29;28;miasto;Warszwa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
41;29;28;wspolczynnik;1,0;1.000;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
42;30;29;miasto;poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
43;30;29;wspolczynnik;1.181;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
44;31;30;miasto;Wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
45;31;30;kwota;1204,54;1204.54;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
46;32;31;miasto;KATOWICE;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
47;33;32;miasto;Poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
48;33;32;wspolczynnik;0,582;0.582;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
49;34;33;miasto;krakow;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
50;35;34;miasto; Warszawa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
51;35;34;wspolczynnik;1.22;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
52;36;35;miasto;KRAKÓW;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
53;36;35;kwota;3560,35;3560.35;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
54;37;36;wspolczynnik;1,111;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
55;38;37;miasto;Krakow ;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
56;38;37;ilosc;82 szt;252;Błędną lub pustą ilość zastąpiono medianą poprawnych wartości: 252.
57;39;38;miasto;katowice;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
58;39;38;wspolczynnik;1.472;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
59;40;39;wspolczynnik;1.117;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
